86 "('Bakuman. 3rd Season', 'https://myanimelist.net/anime/12365/Bakuman_3rd_Season')"
87 "(""Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly"", 'https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly')"
88 "('Kara no Kyoukai 5: Mujun Rasen', 'https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen')"
89 "('Sora yori mo Tooi Basho', 'https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho')"
90 "('Neon Genesis Evangelion: The End of Evangelion', 'https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion')"
91 "('Yuru Camp△ Season 2', 'https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2')"
92 "('Haikyuu!!: To the Top 2nd Season', 'https://myanimelist.net/anime/40776/Haikyuu__To_the_Top_2nd_Season')"
93 "('Josee to Tora to Sakana-tachi', 'https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi')"
94 "('Gintama.: Porori-hen', 'https://myanimelist.net/anime/35843/Gintama__Porori-hen')"
95 "('Koukaku Kidoutai: Stand Alone Complex 2nd GIG', 'https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG')"
96 "('Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2', 'https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2')"
97 "('Slam Dunk', 'https://myanimelist.net/anime/170/Slam_Dunk')"
98 "('One Punch Man', 'https://myanimelist.net/anime/30276/One_Punch_Man')"
99 "('Shingeki no Kyojin', 'https://myanimelist.net/anime/16498/Shingeki_no_Kyojin')"
100 "('Ansatsu Kyoushitsu 2nd Season', 'https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season')"
101 "('Gintama Movie 1: Shinyaku Benizakura-hen', 'https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen')"
102 "('Aria the Origination', 'https://myanimelist.net/anime/3297/Aria_the_Origination')"
103 "('Banana Fish', 'https://myanimelist.net/anime/36649/Banana_Fish')"
104 "('Kenpuu Denki Berserk', 'https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk')"
105 "('Perfect Blue', 'https://myanimelist.net/anime/437/Perfect_Blue')"
